break
20220427 16:56:17 819, UsagePage: 65280, Usage: 1, Data: 10024104728240
20220427 16:56:17 893, UsagePage: 65280, Usage: 1, Data: 10014104718A40
20220427 16:56:17 895, UsagePage: 12, Usage: 1, Data: 0300000000
20220427 16:56:36 861, UsagePage: 65280, Usage: 1, Data: 10024104B28240
20220427 16:56:36 863, UsagePage: 65280, Usage: 2, Data: 1102040001010100000000000000000000000000
20220427 16:56:36 877, UsagePage: 65280, Usage: 2, Data: 1102080064320000000000000000000000000000
20220427 16:56:36 891, UsagePage: 65280, Usage: 2, Data: 1102020C038664FA060006B02340820000010000
20220427 16:56:36 917, UsagePage: 65280, Usage: 2, Data: 1102021C004D504D190100150140826A9CA89D00
20220427 16:56:36 941, UsagePage: 65280, Usage: 2, Data: 1102050C00000000000000000000000000000000
20220427 16:56:36 965, UsagePage: 65280, Usage: 2, Data: 1102080C64320000000000000000000000000000
20220427 16:56:36 979, UsagePage: 65280, Usage: 1, Data: 10014104B18A40
20220427 16:56:36 981, UsagePage: 65280, Usage: 2, Data: 1101040001010100000000000000000000000000
20220427 16:56:36 989, UsagePage: 65280, Usage: 2, Data: 1102FF022C070000000000000000000000000000
20220427 16:56:37 019, UsagePage: 65280, Usage: 2, Data: 1101070032140000000000000000000000000000
20220427 16:56:37 037, UsagePage: 65280, Usage: 2, Data: 1102080C64320000000000000000000000000000
20220427 16:56:37 059, UsagePage: 65280, Usage: 2, Data: 1101020D03F030E7B90006B35B408A0000010000
20220427 16:56:37 060, UsagePage: 65280, Usage: 2, Data: 1102092C00500000000000000000000000000000
20220427 16:56:37 084, UsagePage: 65280, Usage: 2, Data: 1102050C00000000000000000000000000000000
20220427 16:56:37 098, UsagePage: 65280, Usage: 2, Data: 1101021D004D504B1201001301408AFE03773700
20220427 16:56:37 109, UsagePage: 65280, Usage: 2, Data: 1102051C15490000000000000000000000000000
20220427 16:56:37 133, UsagePage: 65280, Usage: 2, Data: 1102093C00500000000300000000000000000000
20220427 16:56:37 139, UsagePage: 65280, Usage: 2, Data: 1101050D00000000000000000000000000000000
20220427 16:56:37 157, UsagePage: 65280, Usage: 2, Data: 1102092C00510000000000000000000000000000
20220427 16:56:37 181, UsagePage: 65280, Usage: 2, Data: 1102093C00510000000300000000000000000000
20220427 16:56:37 207, UsagePage: 65280, Usage: 2, Data: 1102093C00522300520B00000000000000000000
20220427 16:56:37 231, UsagePage: 65280, Usage: 2, Data: 1102093C00532300530B00000000000000000000
20220427 16:56:37 255, UsagePage: 65280, Usage: 2, Data: 1102093C00562300560B00000000000000000000
20220427 16:56:37 279, UsagePage: 65280, Usage: 2, Data: 1102093C00C33300C30B00000000000000000000
20220427 16:56:37 303, UsagePage: 65280, Usage: 2, Data: 1102093C00C42300C40B00000000000000000000
20220427 16:56:37 327, UsagePage: 65280, Usage: 2, Data: 1102092C00D70000000000000000000000000000
20220427 16:56:37 351, UsagePage: 65280, Usage: 2, Data: 1102093C00D7A200000000000000000000000000
20220427 16:56:37 375, UsagePage: 65280, Usage: 2, Data: 11020A0C03000000000000000000000000000000
20220427 16:56:37 399, UsagePage: 65280, Usage: 2, Data: 11020A2C0A000000000000000000000000000000
20220427 16:56:37 423, UsagePage: 65280, Usage: 2, Data: 11020C3C00047E00000000000000000000000000
20220427 16:56:37 447, UsagePage: 65280, Usage: 2, Data: 11020D1C00130000000000000000000000000000
20220427 16:56:37 471, UsagePage: 65280, Usage: 2, Data: 11020E2C00030300000000000000000000000000
20220427 16:56:37 497, UsagePage: 65280, Usage: 2, Data: 11020F2C00000000000000000000000000000000
20220427 16:56:37 521, UsagePage: 65280, Usage: 2, Data: 1102100C0F016800780000000000000000000000
20220427 16:56:37 545, UsagePage: 65280, Usage: 2, Data: 1102101C00000000000000000000000000000000
